,username,tweet_text,retweets,location,created_at
0,JoeBiden,"If you give me the honor of serving as your president, I won't waste any time getting this virus under control and building our nation back better. https://t.co/ZF5fvIQfSR",6113,"Wilmington, DE",2020-10-27 23:30:00
1,JoeBiden,"America's history is the story of ""We the People.""

Of all of us — together. https://t.co/UFAZZnwORf",2759,"Wilmington, DE",2020-10-27 22:55:00
2,JoeBiden,"Our hearts are broken for the family of Walter Wallace Jr., and for all those suffering the emotional weight of learning about another Black life in America lost.

Walter’s life mattered. https://t.co/mGki28Cpyr",3838,"Wilmington, DE",2020-10-27 22:25:00
3,JoeBiden,"It’s go-time, folks. We’re just one week away from the most important election of our lifetimes. Tune in as we get out the vote in Atlanta, Georgia. https://t.co/bJWjyR8JC1",2591,"Wilmington, DE",2020-10-27 20:35:23
4,JoeBiden,"The names of George Floyd and Breonna Taylor and Jacob Blake will not soon be forgotten.

Not by me. Not by us. Not by this country.

They’re going to inspire a new wave of justice in America.",12559,"Wilmington, DE",2020-10-27 19:40:00
5,JoeBiden,I know this country. I know our people. And I know we can unite and heal this nation.,13339,"Wilmington, DE",2020-10-27 19:20:00
6,JoeBiden,"I believe this election is about who we are as a nation, what we believe — and maybe most importantly — who we want to be.

It's about our essence. It’s about what makes us Americans. It’s that fundamental.

Vote: https://t.co/eoxT07d7QB",4301,"Wilmington, DE",2020-10-27 18:58:28
7,JoeBiden,"With one week left until Election Day, I'm delivering remarks in Warm Springs, Georgia, on how we can unite to address the crises facing our nation. Tune in. https://t.co/A5DxgXbbAB",3135,"Wilmington, DE",2020-10-27 17:43:54
8,JoeBiden,Black lives matter. No president should be afraid to say it. https://t.co/636AQZ04lW,25190,"Wilmington, DE",2020-10-27 17:16:00
9,JoeBiden,"With just one week until Election Day, @BarackObama is in Orlando, Florida, encouraging folks to vote early. Tune in. https://t.co/zpUXqNViri",2823,"Wilmington, DE",2020-10-27 16:00:52
10,JoeBiden,"This is our opportunity to leave the dark, angry politics of the past four years behind us.

It's time to come together and unite the country.

It all begins with your vote: https://t.co/eoxT07uII9 https://t.co/CcGiwABcbj",6647,"Wilmington, DE",2020-10-27 15:32:00
11,JoeBiden,"Home is where your values are set — where your view of the world begins to form, along with your place in it.

For me, that's Scranton, PA.

Pennsylvania: today is your last day to vote early in person. We've got to win this — let's bring it home.

Vote: https://t.co/eoxT07d7QB https://t.co/CSJugQxjBY",5404,"Wilmington, DE",2020-10-27 14:25:00
12,JoeBiden,One week until Election Day. Don’t let up now.,24031,"Wilmington, DE",2020-10-27 13:38:00
13,JoeBiden,Vote.,44811,"Wilmington, DE",2020-10-27 03:53:00
14,JoeBiden,"The rushed and unprecedented confirmation of Amy Coney Barrett as Associate Justice to the Supreme Court, in the middle of an ongoing election, should be a stark reminder to every American that your vote matters. https://t.co/NwEi4jyMd1",11916,"Wilmington, DE",2020-10-27 03:43:00
