,created_at,id,text
0,2020-10-16T22:53:54.000Z,1317237360094965760,"Getting ready to land in Macon, Georgia. Another giant crowd. See you soon!"
1,2020-10-16T22:27:54.000Z,1317230817920249856,https://t.co/SpBa6xZorz
2,2020-10-16T22:27:43.000Z,1317230772839878656,https://t.co/74sqFSP4o3
3,2020-10-16T22:27:38.000Z,1317230750916251648,"RT @TeamTrump: President @realDonaldTrump: Early voting in #Florida starts on MONDAY, and we are going to have a Red Wave!

VISIT: https://…"
4,2020-10-16T22:06:04.000Z,1317225324623532032,"THANK YOU OCALA, FLORIDA!
https://t.co/w6KmVYR6kA"
5,2020-10-16T20:23:50.000Z,1317199596649541633,Getting ready to speak in Florida. Enjoy!
6,2020-10-16T18:56:46.000Z,1317177684821221377,"RT @GOP: The numbers speak for themselves! Pres. Trump has provided health care SAVINGS to our seniors.

AZ—premiums ⬇️22% after ⬆️64% w/ O…"
7,2020-10-16T18:56:17.000Z,1317177561001111554,RT @GOP: “We love our senior citizens…You devoted your life to this country and I am devoting my life to you.”—@realDonaldTrump https://t.c…
8,2020-10-16T18:49:04.000Z,1317175747254038530,"RT @TeamTrump: President @realDonaldTrump to seniors in #Florida: As long as I am President, NO ONE will lay a hand on your Medicare or Soc…"
9,2020-10-16T18:48:44.000Z,1317175662550093826,RT @WhiteHouse: American seniors will be first in line when a safe and effective Coronavirus vaccine is approved! https://t.co/TN5jehx8Ay
10,2020-10-16T18:48:38.000Z,1317175638420238342,"RT @WhiteHouse: JUST ANNOUNCED: We have finalized a partnership with @CVSHealth and @Walgreens to deliver the Coronavirus vaccine, when app…"
11,2020-10-16T18:48:33.000Z,1317175615766859776,"RT @WhiteHouse: ""My heart breaks for every grieving family that has lost a precious loved one,"" President @realDonaldTrump said.

""Together…"
12,2020-10-16T18:48:28.000Z,1317175596108177410,"RT @WhiteHouse: President @realDonaldTrump is working hard every day to give America's 54 million seniors the care, support, and respect th…"
