,username,tweet_text,retweets,location,created_at
0,realDonaldTrump,Big problems and discrepancies with Mail In Ballots all over the USA. Must have final total on November 3rd.,0,"Washington, DC",2020-10-26 23:43:16
1,realDonaldTrump,https://t.co/RjtXxzjuuo,17519,"Washington, DC",2020-10-26 22:43:43
2,realDonaldTrump,https://t.co/aax936uVzZ,6501,"Washington, DC",2020-10-26 22:38:39
3,realDonaldTrump,https://t.co/UPt8DZQC4N,5834,"Washington, DC",2020-10-26 22:38:31
4,realDonaldTrump,https://t.co/JlSNwSv2zZ,5675,"Washington, DC",2020-10-26 22:38:16
5,realDonaldTrump,"Thank you Martinsburg, Pennsylvania! #MAGA https://t.co/RddwLxMfxL https://t.co/w6dpfZbdYO",7652,"Washington, DC",2020-10-26 22:22:36
6,realDonaldTrump,"Last week, Joe Biden made perhaps the most shocking admission ever uttered in the history of presidential debates. On live television, Joe Biden confirmed his plan to ABOLISH the entire U.S. Oil Industry—that means NO fracking, NO jobs, and NO energy for Pennsylvania Families!",37234,"Washington, DC",2020-10-26 19:59:03
7,realDonaldTrump,https://t.co/gsFSgh2KPc,7390,"Washington, DC",2020-10-26 19:37:46
8,realDonaldTrump,https://t.co/BC2h4oZhQp,16952,"Washington, DC",2020-10-26 19:35:46
9,realDonaldTrump,"Thank you Lititz, Pennsylvania! MAKE AMERICA GREAT AGAIN!! 
https://t.co/8o90JJBj3v",9441,"Washington, DC",2020-10-26 19:32:32
10,realDonaldTrump,https://t.co/JRgOPXosfY,9701,"Washington, DC",2020-10-26 17:06:43
11,realDonaldTrump,"Played this video at today’s rally in Allentown, Pennsylvania—a must watch! https://t.co/BC2h4oZhQp",35794,"Washington, DC",2020-10-26 17:00:24
12,realDonaldTrump,"Thank you Allentown, Pennsylvania! Together, we are going to MAKE AMERICA GREAT AGAIN! https://t.co/gsFSghkmdM https://t.co/aA0I8pBEGb https://t.co/ngUKFNhM0Q",9342,"Washington, DC",2020-10-26 16:53:10
13,realDonaldTrump,Thank you! #MAGA https://t.co/4hBUMgeAHi,25685,"Washington, DC",2020-10-26 14:36:02
14,realDonaldTrump,https://t.co/gsFSghkmdM https://t.co/CgDeqKDXGH,17722,"Washington, DC",2020-10-26 13:06:04
15,realDonaldTrump,"The Fake News Media is riding COVID, COVID, COVID, all the way to the Election. Losers!",48089,"Washington, DC",2020-10-26 12:58:11
16,realDonaldTrump,"Cases up because we TEST, TEST, TEST. A Fake News Media Conspiracy. Many young people who heal very fast. 99.9%. Corrupt Media conspiracy at all time high. On November 4th., topic will totally change. VOTE!",33743,"Washington, DC",2020-10-26 12:46:31
17,realDonaldTrump,"New York, California, Illinois. People are FLEEING, Taxes and Crime are going through the roof. VOTE TRUMP, I will turn it around, and FAST!",28952,"Washington, DC",2020-10-26 11:46:52
18,realDonaldTrump,MAKE AMERICA GREAT AGAIN!,46386,"Washington, DC",2020-10-26 11:41:40
19,realDonaldTrump,We are winning big on the voting numbers. Get out and Vote. Bigger than 2016!!!,29228,"Washington, DC",2020-10-26 11:41:15
20,realDonaldTrump,Three BIG Rallies today. Heading to Pennsylvania. I have plenty to say about the dishonesty of the Media and Sleepy Joe. A terrible coverup is happening in our Country!!!,24178,"Washington, DC",2020-10-26 11:39:56
21,realDonaldTrump,"We have made tremendous progress with the China Virus, but the Fake News refuses to talk about it this close to the Election. COVID, COVID, COVID is being used by them, in total coordination, in order to change our great early election numbers.Should be an election law violation!",21008,"Washington, DC",2020-10-26 11:36:35
22,realDonaldTrump,Joe Biden called me George yesterday. Couldn’t remember my name. Got some help from the anchor to get him through the interview. The Fake News Cartel is working overtime to cover it up!,55227,"Washington, DC",2020-10-26 11:30:44
23,realDonaldTrump,“A Pennsylvania Appeals Court turns down the Trump Administrations request for Poll Watchers to monitor satellite election offices.” @OANN  How terrible is this? We are just seeking a fair vote count. This can only lead to very bad things. Bad intentions much??? Disgraceful!!!,36055,"Washington, DC",2020-10-26 04:39:11
