,id,username,tweet_text,retweets,location,created_at
0,1323627228748460033,realDonaldTrump,https://t.co/gsFSghkmdM,12410,"Washington, DC",2020-11-03 14:04:57
1,1323534663453913093,realDonaldTrump,"VOTE! VOTE! VOTE!
https://t.co/85ySh1KYkh",93398,"Washington, DC",2020-11-03 07:57:08
2,1323527920200003584,realDonaldTrump,Thank you Matt! https://t.co/hWiyWpvf8o,12483,"Washington, DC",2020-11-03 07:30:20
3,1323527405680562177,realDonaldTrump,Thank you Paris. Keep up the GREAT work! https://t.co/jPT046qOTU,11747,"Washington, DC",2020-11-03 07:28:18
4,1323520654306615297,realDonaldTrump,"To all of our supporters: thank you from the bottom of my heart. You have been there from the beginning, and I will never let you down. Your hopes are my hopes, your dreams are my dreams, and your future is what I am fighting for every single day! https://t.co/gsFSghkmdM https://t.co/fLek4keQ1t",46317,"Washington, DC",2020-11-03 07:01:28
5,1323520310713352192,realDonaldTrump,Thank you Brad! https://t.co/Rdcp9D76Ol,5915,"Washington, DC",2020-11-03 07:00:06
6,1323515992069173248,realDonaldTrump,https://t.co/hLuyRy0WNU,7533,"Washington, DC",2020-11-03 06:42:56
7,1323515783947915270,realDonaldTrump,https://t.co/tyZW5hYRIY,6279,"Washington, DC",2020-11-03 06:42:07
8,1323515749164527618,realDonaldTrump,https://t.co/mpusBndpcH,6209,"Washington, DC",2020-11-03 06:41:58
9,1323513166672891904,realDonaldTrump,"THANK YOU MICHIGAN!
https://t.co/uKkJz6ioO2",10741,"Washington, DC",2020-11-03 06:31:43
10,1323481349030879232,realDonaldTrump,"Our prayers are with the people of Vienna after yet another vile act of terrorism in Europe. These evil attacks against innocent people must stop. The U.S. stands with Austria, France, and all of Europe in the fight against terrorists, including radical Islamic terrorists.",35329,"Washington, DC",2020-11-03 04:25:17
11,1323475722032336896,realDonaldTrump,"Heading to GRAND RAPIDS, MICHIGAN after a great evening in KENOSHA, WISCONSIN! Get out and VOTE tomorrow, let’s MAKE AMERICA GREAT AGAIN! https://t.co/k6vyL1hLqL",16831,"Washington, DC",2020-11-03 04:02:55
12,1323471421721464832,realDonaldTrump,"A vote for Sleepy Joe Biden is a vote to give control of government over to Globalists, Communists, Socialists, and Wealthy Liberal Hypocrites who want to silence, censor, cancel, and punish you. Get out and VOTE #MAGA tomorrow! https://t.co/gsFSghkmdM",15519,"Washington, DC",2020-11-03 03:45:50
13,1323470806240927745,realDonaldTrump,"Biden has vowed to ABOLISH the American oil and natural gas industries, and BAN fracking. As long as I am President, we will remain the number one producer of oil and natural gas on earth – and we will remain Energy Independent! https://t.co/gsFSghkmdM https://t.co/v1RYeAvhC4",12324,"Washington, DC",2020-11-03 03:43:23
14,1323469256667942913,realDonaldTrump,"A vote for me and the Republican Party is a vote for the American Dream! Over the next four years, we will make America into the Manufacturing Superpower of the World, and we will end our reliance on China once and for all. https://t.co/gsFSghkmdM https://t.co/S7PAIqWd0y",16935,"Washington, DC",2020-11-03 03:37:14
15,1323468357312667649,realDonaldTrump,"I am asking you to go VOTE for your favorite president, we still have work to do! Let’s WIN, WIN, WIN! https://t.co/ysLmOS689V",15323,"Washington, DC",2020-11-03 03:33:39
0,1323669746823372800,realDonaldTrump,https://t.co/oLOa4kC1i0,6316,"Washington, DC",2020-11-03 16:53:54
0,1323692020880297986,realDonaldTrump,https://t.co/zX4bqgtWqH,8460,"Washington, DC",2020-11-03 18:22:25
1,1323691984989622272,realDonaldTrump,https://t.co/SMaOF79kPV,8762,"Washington, DC",2020-11-03 18:22:16
2,1323680963310866435,realDonaldTrump,"A parade for me in Nigeria, a great honor! https://t.co/EHiSQMFvSZ",35656,"Washington, DC",2020-11-03 17:38:29
0,1323725991148167171,realDonaldTrump,"Get out &amp; VOTE! Under my Administration, our ECONOMY is growing at the fastest rate EVER at 33.1%. Next year will be the GREATEST ECONOMIC YEAR in American History!

Find your polling place below. https://t.co/OODmll3Snt",7732,"Washington, DC",2020-11-03 20:37:24
0,1323765884268224514,realDonaldTrump,WE ARE LOOKING REALLY GOOD ALL OVER THE COUNTRY. THANK YOU!,45634,"Washington, DC",2020-11-03 23:15:55
0,1323864823680126977,realDonaldTrump,"We are up BIG, but they are trying to STEAL the Election. We will never let them do it. Votes cannot be cast after the Polls are closed!",0,"Washington, DC",2020-11-04 05:49:04
1,1323864021167198209,realDonaldTrump,I will be making a statement tonight. A big WIN!,55679,"Washington, DC",2020-11-04 05:45:53
0,1324004491612618752,realDonaldTrump,"Last night I was leading, often solidly, in many key States, in almost all instances Democrat run &amp; controlled. Then, one by one, they started to magically disappear as surprise ballot dumps were counted. VERY STRANGE, and the “pollsters” got it completely &amp; historically wrong!",56,"Washington, DC",2020-11-04 15:04:04
0,1324012341458075648,realDonaldTrump,WHAT IS THIS ALL ABOUT? https://t.co/6487pYLZnL,20405,"Washington, DC",2020-11-04 15:35:15
1,1324007806694023169,realDonaldTrump,How come every time they count Mail-In ballot dumps they are so devastating in their percentage and power of destruction?,43990,"Washington, DC",2020-11-04 15:17:14
0,1324033983882166272,realDonaldTrump,"They are working hard to make up 500,000 vote advantage in Pennsylvania disappear — ASAP. Likewise, Michigan and others!",5608,"Washington, DC",2020-11-04 17:01:15
0,1324061986779504642,realDonaldTrump,"We are winning Pennsylvania big, but the PA Secretary of State just announced that there are “Millions of ballots left to be counted.”",13816,"Washington, DC",2020-11-04 18:52:32
1,1324059767581671425,realDonaldTrump,"Wow! It looks like Michigan has now found the ballots necessary to keep a wonderful young man, John James, out of the U.S. Senate. What a terrible thing is happening!",22779,"Washington, DC",2020-11-04 18:43:43
0,1324108206801563650,realDonaldTrump,.....there was a large number of secretly dumped ballots as has been widely reported!,0,"Washington, DC",2020-11-04 21:56:11
1,1324108200141082624,realDonaldTrump,"We have claimed, for Electoral Vote purposes, the Commonwealth of Pennsylvania (which won’t allow legal observers) the State of Georgia, and the State of North Carolina, each one of which has a BIG Trump lead. Additionally, we hereby claim the State of Michigan if, in fact,.....",25462,"Washington, DC",2020-11-04 21:56:10
0,1324139647111409667,realDonaldTrump,"Detroit Absentee Ballot Counting Chaos, Blocked Windows and Observers https://t.co/KzIwhbQrDt via @BreitbartNews",7386,"Washington, DC",2020-11-05 00:01:07
1,1324139387546984449,realDonaldTrump,Demands Arise for PA Attorney General to ‘Step Aside‘ https://t.co/jrED09zpK1 via @BreitbartNews,5830,"Washington, DC",2020-11-05 00:00:05
2,1324130551234727936,realDonaldTrump,"Our lawyers have asked for “meaningful access”, but what good does that do? The damage has already been done to the integrity of our system, and to the Presidential Election itself. This is what should be discussed!",35348,"Washington, DC",2020-11-04 23:24:59
0,1324353932022480896,realDonaldTrump,STOP THE COUNT!,48652,"Washington, DC",2020-11-05 14:12:37
0,1324375607933833219,realDonaldTrump,"Jobless Claims Dip to 751,000, Lowest Since March https://t.co/dzuJpS78nb via @BreitbartNews",7949,"Washington, DC",2020-11-05 15:38:45
1,1324375334653988864,realDonaldTrump,Fmr NV AG Laxalt: ‘No Question‘ Trump Would Have Won Nevada ‘Convincingly‘ Without Mail-in Voting https://t.co/pm4Wpfr6x0 via @BreitbartNews,9522,"Washington, DC",2020-11-05 15:37:40
2,1324368202139357186,realDonaldTrump,ANY VOTE THAT CAME IN AFTER ELECTION DAY WILL NOT BE COUNTED!,0,"Washington, DC",2020-11-05 15:09:19
0,1324386685858287616,realDonaldTrump,All of the recent Biden claimed States will be legally challenged by us for Voter Fraud and State Election Fraud. Plenty of proof - just check out the Media. WE WILL WIN! America First!,0,"Washington, DC",2020-11-05 16:22:46
1,1324382829535498244,realDonaldTrump,Big legal win in Pennsylvania!,37308,"Washington, DC",2020-11-05 16:07:27
0,1324401527663058944,realDonaldTrump,STOP THE FRAUD!,0,"Washington, DC",2020-11-05 17:21:45
0,1324493225579696129,realDonaldTrump,News Conference at 6:30 P.M.,23774,"Washington, DC",2020-11-05 23:26:07
0,1324541720583905286,realDonaldTrump,https://t.co/11BmRoMKa3,10148,"Washington, DC",2020-11-06 02:38:49
1,1324541695577436161,realDonaldTrump,https://t.co/U4x4etE097,7657,"Washington, DC",2020-11-06 02:38:43
2,1324541657665200129,realDonaldTrump,https://t.co/ityeypdGDi,7607,"Washington, DC",2020-11-06 02:38:34
3,1324541519873847296,realDonaldTrump,https://t.co/HhiK6eDVds,14833,"Washington, DC",2020-11-06 02:38:01
0,1324613375213621248,realDonaldTrump,"Twitter is out of control, made possible through the government gift of Section 230!",16793,"Washington, DC",2020-11-06 07:23:33
0,1324730186798161925,realDonaldTrump,“Philadelpiha has got a rotten history on election integrity.” @Varneyco @FoxBusiness,24755,"Washington, DC",2020-11-06 15:07:43
0,1324752659996397575,realDonaldTrump,"With the attack by the Radical Left Dems on the Republican Senate, the Presidency becomes even more important!",18697,"Washington, DC",2020-11-06 16:37:01
0,1324768077939118083,realDonaldTrump,Where are the missing military ballots in Georgia? What happened to them?,28814,"Washington, DC",2020-11-06 17:38:17
0,1324846580147642369,realDonaldTrump,Joe Biden should not wrongfully claim the office of the President. I could make that claim also. Legal proceedings are just now beginning!,24936,"Washington, DC",2020-11-06 22:50:13
0,1324855496722026498,realDonaldTrump,"I had such a big lead in all of these states late into election night, only to see the leads miraculously disappear as the days went by. Perhaps these leads will return as our legal proceedings move forward!",55088,"Washington, DC",2020-11-06 23:25:39
0,1324901123996741634,realDonaldTrump,“We need an explanation as to how these numbers have been running up for the last two or three days.” Matthew Whitaker. @EveningEdit,21999,"Washington, DC",2020-11-07 02:26:58
0,1324927258679767042,realDonaldTrump,Incredibly stated Jim! https://t.co/FNbZ71gsZx,23029,"Washington, DC",2020-11-07 04:10:49
0,1325067488695099397,realDonaldTrump,People were screaming STOP THE COUNT &amp; WE DEMAND TRANSPARENCY (As Legal Observers were refused admittance to count rooms)! https://t.co/CW1tivI45c,5973,"Washington, DC",2020-11-07 13:28:02
1,1325065549559291910,realDonaldTrump,....Bad things took place during those hours where LEGAL TRANSPARENCY was viciously &amp; crudely not allowed. Tractors blocked doors &amp; windows were covered with thick cardboard so that observers could not see into the count rooms. BAD THINGS HAPPENED INSIDE. BIG CHANGES TOOK PLACE!,7441,"Washington, DC",2020-11-07 13:20:20
2,1325065546342264834,realDonaldTrump,"....This would ALSO change the Election result in numerous States, including Pennsylvania, which everyone thought was easily won on Election Night, only to see a massive lead disappear, without anyone being allowed to OBSERVE, for long intervals of time, what the happened...",6843,"Washington, DC",2020-11-07 13:20:19
3,1325065540390559745,realDonaldTrump,"Tens of thousands of votes were illegally received after 8 P.M. on Tuesday, Election Day, totally and easily changing the results in Pennsylvania and certain other razor thin states. As a separate matter, hundreds of thousands of Votes were illegally not allowed to be OBSERVED...",13054,"Washington, DC",2020-11-07 13:20:18
0,1325195021339987969,realDonaldTrump,"71,000,000 Legal Votes. The most EVER for a sitting President!",96604,"Washington, DC",2020-11-07 21:54:48
0,1325432476215500800,realDonaldTrump,...and Detroit with a long series of election problems (to put it mildly).” @JonathanTurley,9687,"Washington, DC",2020-11-08 13:38:22
